"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Intelligence Pest Detection and Control in Agriculture using Computer Vision and Deep Learning","S. A. Kumar; F. Shaik; B. Yashwitha; P. Vidyavathi; A. U. Maheswari; P. Spurthi","Department of AI&DS, Annamacharya University, Andhra Pradesh; Department of ECE, Annamacharya University, Andhra Pradesh; Department of AI&DS, Annamacharya Institute of Technology and Sciences, Andhra Pradesh; Department of AI&DS, Annamacharya Institute of Technology and Sciences, Andhra Pradesh; Department of AI&DS, Annamacharya Institute of Technology and Sciences, Andhra Pradesh; Department of AI&DS, Annamacharya Institute of Technology and Sciences, Andhra Pradesh",2025 International Conference on Intelligent Computing and Control Systems (ICICCS),"12 May 2025","2025","","","1147","1150","One of the most significant challenges in agriculture over the years has been the detection and also control of pests and while it continues to this day, the advent of technology in the agricultural sector is providing solutions that are incredibly promising. Pests cause significant worldwide crop loss and represent a threat to food security and farmer livelihoods. Conventional pest management approaches revolve around labour-intensive strategies, large applications of pesticides, and reactionary measures, resulting in environmental degradation and sub-optimal crop yields. This work utilizes the power of AI(Artificial Intelligence),computer vision and deep learning to create a smart pest detection system. It treats pest identification and damage detection as real-time visual data processing tasks with machine learning approaches, making it possible to swiftly and accurately locate pests and their damage in the photos taken through the camera, facilitating extra prompt preventive measures. Working under the hood, the algorithms adapt to changing environmental conditions and shifting pest behaviours, learning as they go. Most of the pest detection systems today are manual, requiring manual visual inspection and image recognition approaches, this solution not only provides the next level of system but it also paves the way for pest management in the most efficient, accurate & sustainable way.","","979-8-3315-1208-8","10.1109/ICICCS65191.2025.10985611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10985611","Pest Detection;Agriculture;Computer Vision;Deep Learning;Convolutional Neural Network;Machine Learning Models;Real-Time Monitoring;Scalable Cloud Architecture;Pest Control;Sustainable Farming;Data Security;Image Processing;Crop Health","Deep learning;Computer vision;Visualization;Accuracy;Pesticides;Manuals;Control systems;Real-time systems;Agriculture;Farming","","2","","12","IEEE","12 May 2025","19-21 March 2025","19-21 March 2025","IEEE","IEEE Conferences"
"Application of IP102 Dataset in Pest Detection by using Deep Learning Techniques","B. T. Vamsi; J. Yadla; G. V. Kumar","Department of IT, Dhanekula Institute of Engineering & Technology Ganguru, Vijayawada; Department of CSE, Sir C.R. Reddy College of Engineering Vatluru, Eluru; Department of ECE, Maulana Azad National Institute of Technology, Bhopal","2023 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)","4 Aug 2023","2023","","","1","5","To ensure high biomass yields and reduce operating risks for farmers, lightning-fast and precise agricultural pest detection is essential. Conventional pest detection techniques, such as manual inspection and visual examination, take a lot of time, require a lot of work, and are prone to human mistake. Deep learning methods have become a potential tool for crop pest identification in recent years. An abstract of a work on agricultural pest identification using deep learning algorithm is presented here. The suggested method employs You Only Look Once (YOLO) algorithm to evaluate crop photos and accurately detect the presence of pests and their damage patterns. The model can identify pests in real time and notify farmers to immediately implement the necessary pest management measures. The method has the potential with precision of 87% to boost the effectiveness of pest identification and management while decreasing reliance on human labour, improving agricultural yields and enhancing food security. The problems and promise for future development of deep learning-based agricultural pest identification are covered in the paper's conclusion.","","979-8-3503-1590-5","10.1109/ACCAI58221.2023.10199252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10199252","Crop Pest;Deep Learning;You Only Look Once(YOLO);IP102","Deep learning;Training;Visualization;Crops;Pesticides;Object detection;Time measurement","","2","","10","IEEE","4 Aug 2023","25-26 May 2023","25-26 May 2023","IEEE","IEEE Conferences"
"A Deep Learning Assisted Crop Pest Classification Model by Using Enhanced Light Gradient Boost Machine (ELGBM) Logics","V. S. Prasad Ch; M. C; P. M; V. K G; N. Sunheriya; M. R. Al-Mousa","Department of ECE, Jeppiaar Engineering College, Chennai; Department of ECE, Rajalakshmi Institute of Technology, Chennai; Sona College of Technology, Salem; School of Mechanical Engineering, Vellore Institute of Technology, Chennai; Department of Mechanical Engineering, Yeshwantrao Chavan College of Engineering, Nagpur, India; Department of Cyber Security, College of Information Technology, Zarqa University, zarqa, jordan","2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","12 Mar 2025","2024","","","1","5","Many different kinds of pests and insects impede the development of vital field crops including wheat, sugarcane, and rice, and they also diminish agricultural yields. Due to their similar appearance in the early stages of crop growth, accurately classifying and identifying all varieties of crop insects is a challenging task for farmers. Automatic feature extraction and handling of complicated high-level features in image classification applications are two requirements for a new model that can solve this problem with the help of deep learning aided architectures. This study investigates the use of an Enhanced Light Gradient Boost Machine (ELGBM), a deep learning algorithm, for the purpose of crop pest classification and pesticide recommendation. The suggested model's efficacy is assessed by cross-validation with a traditional learning technique known as Convolution Neural Network (CNN). Furthermore, the system incorporates a recommendation component that proposes the most efficient pesticide options for crop protection depending on the discovered pests. The suggested methodology outperforms more traditional approaches in terms of classification accuracy, which is around 98%. The outcomes proved that the suggested ELGBM model outperformed pre-trained models in labeling different kinds of field crop insects, suggesting its potential for use in agricultural crop protection systems.","","979-8-3315-4362-4","10.1109/ICSES63760.2024.10910912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10910912","Agriculture;Crop Maintenance;Deep Learning;Crop Pest Detection;Pest Classification;ELGBM;Convolution Neural Network;CNN","Deep learning;Convolution;Insects;Neural networks;Crops;Pesticides;Feature extraction;Classification algorithms;Protection;Testing","","3","","15","IEEE","12 Mar 2025","12-13 Dec. 2024","12-13 Dec. 2024","IEEE","IEEE Conferences"
"Pest Detection and Identification in Rice crops using Yolo V3 Convolutional Neural Network","G. Anitha; P. Harini; V. Chandru; S. Abdullah; B. S. A. Rahman","Crescent Institute of Science and Technology, Chennai, India; Crescent Institute of Science and Technology, Chennai, India; Crescent Institute of Science and Technology, Chennai, India; Crescent Institute of Science and Technology, Chennai, India; Crescent Institute of Science and Technology, Chennai, India",2024 OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 4.0,"30 Sep 2024","2024","","","1","5","Diseases and insect pests are intimately related to the quantity and quality of agricultural goods. Crop diseases and insect pest outbreaks occur on a massive scale and frequently result in catastrophic economic losses. Consequently, it is crucial to keep an eye on and manage crop diseases and insect pests. The first and most crucial step in the prevention and management of crop diseases and pests is learning how to promptly and precisely detect the ailments that affect crops. Deep learning approaches for pest identification are now more accurate than traditional methods because of the rapid advancements in machine learning and artificial intelligence technologies. Deep learning techniques are increasingly being used as the main strategies for overcoming the technological barriers to pest recognition. Clear structure and good recognition accuracy are the benefits of deep learning algorithms for image recognition. Accurately identifying pests in crops may be more effective, which is good for agricultural productivity. In this work, an improved deep learning model Yolo V3 is used to produce high-performance pest detection in rice crops. This Yolo V3 classifier gives 99% accuracy, and it outperforms the conventional convolutional neural network (CNN).","","979-8-3503-7378-3","10.1109/OTCON60325.2024.10688361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10688361","Yolo V3;pest detection;rice crop;deep learning","Deep learning;YOLO;Visualization;Accuracy;Image recognition;Computational modeling;Insects;Crops;Convolutional neural networks;Diseases","","6","","15","IEEE","30 Sep 2024","5-7 June 2024","5-7 June 2024","IEEE","IEEE Conferences"
"A Novel Method for Rapid Detection of Crop Pest Status Based on NCC Combined with Edge Detection: ANAED","X. Zhu; Z. Wu; Y. Ou; J. Liu; Y. Lin","Guangdong Polytechnic of Science and Technology, Zhuhai, China; Guangdong Polytechnic of Science and Technology, Zhuhai, China; Guangdong Polytechnic of Science and Technology, Zhuhai, China; Guangdong Polytechnic of Science and Technology, Zhuhai, China; Guangdong Polytechnic of Science and Technology, Zhuhai, China","2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)","23 Jun 2025","2025","","","815","819","As computer vision and deep learning are gradually combined for high-quality target detection, higher requirements are also put forward for the embedded devices carried, which poses a huge challenge to the cost of modern agricultural precision planting and intelligent planting. Because of the above problems, this paper proposes a new method for rapid plant pest status detection based on the combination of the NCC (normalized correlation coefficient) algorithm and edge detection technology, which not only avoids the need for specific plant learning and training in deep learning but also is simple and efficient, especially suitable for low-power embedded devices such as OpenMV, RaspberryPI, etc. In practical applications, this method first uses the optimized NCC algorithm to quickly lock the observable leaves of the plant (mainly the leaves are unobstructed) and then uses edge detection technology (optimized morph-function) to extract all the edge information of the leaves, and further optimizes the edge detection results through threshold and filtering. Finally, the pest status and severity of the plant are judged according to the average value of the integrity and damage degree of the edge of the crop leaves detected per unit area. The experimental results show that this method can accurately detect the pest status of crops in a fast time, with high practicality and accuracy. In addition, through experiments on fruit-bearing crops such as cucumbers, eggplants, pumpkins, and zucchini, it was found that this method has the best detection effect in the growth and maturity stages of these plants, with an accuracy rate of about 77%-86%. This method is simple, fast, and can be applied in low-power embedded devices. It does not require deep learning and large amounts of data calculation and has high practical value.","","979-8-3315-2228-5","10.1109/AINIT65432.2025.11035979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11035979","Computer vision;NCC;Edge detection;crop pest status;Embedded devices","Deep learning;Training;Seminars;Computer vision;Accuracy;Filtering;Image edge detection;Crops;Real-time systems;Data mining","","","","12","IEEE","23 Jun 2025","11-13 April 2025","11-13 April 2025","IEEE","IEEE Conferences"
"Insect Pest Detection and Identification Method Based on Deep Learning for Realizing a Pest Control System","H. Kuzuhara; H. Takimoto; Y. Sato; A. Kanagawa","Graduate School of Computer Science and Systems Engineering, Okayama Prefectural University, Okayama, Japan; Faculty of Computer Science and Systems Engineering, Okayama Prefectural University, Okayama, Japan; JST PRESTO / Research Institute for Food and Agriculture, Ryukoku University, Shiga, Japan; Faculty of Computer Science and Systems Engineering, Okayama Prefectural University, Okayama, Japan",2020 59th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE),"2 Nov 2020","2020","","","709","714","Detection of insect pests in the agricultural field, which is useful in achieving smart agriculture, has attracted considerable attention. In particular, automatically monitoring the number of crop insect pests has evolved into key means of managing and optimizing agricultural resources. However, despite the fact that conventional convolutional neural network (CNN)-based approaches have yielded sufficient results for general object detection, few methods have been developed to detect and recognize small objects such as insect pests. In addition, no large dataset exists for pest detection even though CNN-based methods require a large dataset to optimize many parameters. In this study, we propose two-stage detection and identification methods for small insect pests based on CNN. We also present a region proposal network for insect pest detection using YOLOv3 and propose a re-identification method using the Xception model. To train these models, we propose a data augmentation method using image processing.","","978-1-7281-1089-9","10.23919/SICE48898.2020.9240458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240458","image processing;insect pest detection;deep learning","Deep learning;Insects;Process control;Object detection;Pest control;Agriculture;Proposals","","59","","25","","2 Nov 2020","23-26 Sept. 2020","23-26 Sept. 2020","IEEE","IEEE Conferences"
"A deep learning-based crop pest and disease recognition system for farmland in Xinjiang","R. Sun","Xinjiang University, Urumqi, China","2024 6th International Conference on Internet of Things, Automation and Artificial Intelligence (IoTAAI)","2 Oct 2024","2024","","","359","362","With the rapid development of modern agriculture, the timely detection and treatment of pests and diseases is very important to ensure the healthy growth of crops and improve production. This paper presents a deep learning-based system for identifying crop diseases and pests in Xinjiang, utilizing Convolutional Neural Networks (CNNs). The system achieves over 95% accuracy, outperforming traditional methods. It offers real-time pest control suggestions, enhancing both detection efficiency and accuracy.","","979-8-3503-8697-4","10.1109/IoTAAI62601.2024.10692640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10692640","deep learning;Plant diseases and insect pests recognition;Convolution neural network (CNN);Crop health;Image processing;ResNet - 50;Agricultural science and technology","Deep learning;Accuracy;Insects;Neural networks;Crops;Production;Pest control;Real-time systems;Internet of Things;Diseases","","5","","10","IEEE","2 Oct 2024","26-28 July 2024","26-28 July 2024","IEEE","IEEE Conferences"
"Research on the Design of Crop Disease Recognition System Based on Deep Learning","J. Chen; S. Li; J. Sun; Y. Xie","College of Information Engineering, Hainan Vocational University of Science and Technology, Haikou, China; College of Information Engineering, Hainan Vocational University of Science and Technology, Haikou, China; College of Information Engineering, Hainan Vocational University of Science and Technology, Haikou, China; College of Information Engineering, Hainan Vocational University of Science and Technology, Haikou, China","2023 IEEE 3rd International Conference on Electronic Technology, Communication and Information (ICETCI)","17 Jul 2023","2023","","","34","37","As an important economic pillar, agriculture plays a vital role in the development of China. However, Crop diseases and insect pests have always been the most common agricultural problems in agricultural production, which seriously affect the efficiency and quality of agricultural production. Therefore, how to identify effectively and control pests and diseases, so as to make the agricultural output increase well and quickly for farmers, is a topic of particular concern for farmers and researches at present. At present, there are still many deficiencies in the detection and control of agricultural pests and diseases in China. It is very important to strengthen the research on the detection and control of agricultural pests and diseases, improve the detection and control level of pests and diseases, and maintain the agricultural ecological balance. In view of this situation, this paper abandons traditional methods such as manual recognition and instrument recognition, then introduces a new generation of disease recognition methods based on deep learning, combined with image processing to the identification of crop pathological conditions, and obtains images based on the Internet of Things technology, which is an inevitable trend for the development of precision agriculture in the future. The results of this system design will be visualized, predictable and platformized to improve the utilization rate and usability of farmers.","","979-8-3503-9841-0","10.1109/ICETCI57876.2023.10176384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10176384","Crops;Disease recognition;Deep learning;Internet of Things","Deep learning;Visualization;Image recognition;Crops;Production;Agriculture;Internet of Things","","2","","8","IEEE","17 Jul 2023","26-28 May 2023","26-28 May 2023","IEEE","IEEE Conferences"
"Enhancing crop health using deep learning techniques","S. S. Kosaraju; M. Sunkara; G. K. Kumar; A. M","Dept. of CSE, Chaitanya Bharathi Institute of Technology, Hyderabad, India; Dept. of CSE, Chaitanya Bharathi Institute of Technology, Hyderabad, India; Dept. of CSE, Chaitanya Bharathi Institute of Technology, Hyderabad, India; Dept. of CSE, Chaitanya Bharathi Institute of Technology, Hyderabad, India",2024 2nd International Conference on Artificial Intelligence and Machine Learning Applications Theme: Healthcare and Internet of Things (AIMLA),"21 May 2024","2024","","","1","7","Farmers have faced several difficulties as a result of the traditional techniques to identify leaf diseases, which have led to significant losses. Thankfully, technological developments have allowed us to effectively create leaf disease monitoring devices that help with early disease diagnosis. This paper investigates the realm of crop pest as they cause significant economic, social and environmental losses globally, making precise identification crucial for pest control in agriculture. Effective pest and disease management requires accurate and timely detection and classification of these pests and diseases. Deep learning techniques, especially convolutional neural networks (CNNs) and YOLOv8 algorithms, have emerged as highly accurate and efficient tools for image-based pest and disease detection. Using CNN and YOLOv8 algorithms, this project aims to create a robust and efficient crop pest detection and classification system. To accomplish this goal, a large dataset of labelled images of various crop pests and diseases will be collected and preprocessed. Following that, using the prepared dataset, a CNN architecture will be designed and trained with the goal of extracting and analyzing key features from pest and disease images. Furthermore, the YOLOv8 object detection algorithm will be used to detect and classify pests and diseases in images. The trained CNN and YOLOv8 models will be integrated into an easy-to-use interface that will allow farmers and agricultural professionals to detect and identify crop pests and diseases in their fields. The proposed system’s performance will be measured using metrics such as accuracy, precision, recall, and mean average precision (mAP). The successful development of this crop pest detection and classification system will provide farmers with a valuable tool for timely and accurate pest and disease identification, ultimately contributing to improved crop health, yields, and agricultural productivity.","","979-8-3503-4922-1","10.1109/AIMLA59606.2024.10531428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10531428","Pests identification;deep learning;CNN;beneficial pests;harmful pests;YOLO;autoencoders;ResNet;CapsNets","Deep learning;Training;YOLO;Scalability;Crops;Feature extraction;Classification algorithms","","3","","21","IEEE","21 May 2024","15-16 March 2024","15-16 March 2024","IEEE","IEEE Conferences"
"Benchmarking Deep Object Detection Models for Agricultural Pest Identification: A Case Study on Potato Crops","S. Hadianti; D. Riana; M. Haris; D. N. Sulistyowati","Doctoral program, Informatics study program, Faculty of Technology Information, Universitas Nusa Mandiri, East Jakarta, Indonesia; Doctoral program, Informatics study program, Faculty of Technology Information, Universitas Nusa Mandiri, East Jakarta, Indonesia; Doctoral program, Informatics study program, Faculty of Technology Information, Universitas Nusa Mandiri, East Jakarta, Indonesia; Information system study program, Faculty of Technology Information, Universitas Nusa Mandiri, East Jakarta, Indonesia",2025 International Conference on Information Technology Research and Innovation (ICITRI),"17 Nov 2025","2025","","","1","6","Accurate pest detection is a crucial aspect in the world of agriculture, especially in potato plants which are one of the largest food production in the world. This study aims to compare the performance of three deep learning-based object detection models, namely Faster R-CNN, RetinaNet, and Mask R-CNN in identifying pests in potato plants. The dataset used consists of 636 annotated images from public datasets and datasets collected directly from field conditions covering various types of common pests in potatoes. The three models were trained and evaluated using standard metrics, namely mean Average Precision (mAP), precision, recall, and inference time. The results showed that among the Faster RCNN, RetinaNet, and Mask R-CNN models, the RetinaNet model showed the highest mAP value among the three models with a presentation of 67.6 %. In terms of speed, there was no significant difference between the three models. These findings can be a reference for researchers and farmers in choosing the right computer vision model for smart agriculture-based pest management systems.","","979-8-3315-6940-2","10.1109/ICITRI67507.2025.11232668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232668","Faster R-CNN;RetinaNet;Mask R-CNN;Pests Identification;Object Detection","Measurement;Precision agriculture;Technological innovation;Accuracy;Computational modeling;Object detection;Benchmark testing;Real-time systems;Object recognition;Standards","","","","24","IEEE","17 Nov 2025","11-12 Sept. 2025","11-12 Sept. 2025","IEEE","IEEE Conferences"
