Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Deep learning based agricultural pest monitoring and classification,Scientific Reports,,,,10.1038/s41598-025-92659-5,Stella Mary VenkateswaraJayashree Padmanabhan,2025,https://link.springer.com/article/10.1038/s41598-025-92659-5,Article
Revolutionizing Agriculture: Deep Learning Models for Crop Pest and Disease Analysis,Machine Vision in Plant Leaf Disease Detection for Sustainable Agriculture,,,,10.1007/978-981-96-4520-6_3,Arifa Akter EvaTasmia KhanTabassoom RahmanAhmed Taj NoorNour Elhouda Ben Saadi,2025,https://link.springer.com/chapter/10.1007/978-981-96-4520-6_3,Chapter
YOLO-Based Agricultural Pest Detection: A Systematic Performance Analysis,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9908-7_17,Yinghao LiXianliang JiangGuang JinGuanghui Gong,2025,https://link.springer.com/chapter/10.1007/978-981-96-9908-7_17,Conference paper
"Deep learning and computer vision in plant disease detection: a comprehensive review of techniques, models, and trends in precision agriculture",Artificial Intelligence Review,,,,10.1007/s10462-024-11100-x,Abhishek UpadhyayNarendra Singh ChandelKrishna Pratap SinghSubir Kumar ChakrabortyBalaji M. NandedeMohit KumarA. SubeeshKonga UpendarAli SalemAhmed Elbeltagi,2025,https://link.springer.com/article/10.1007/s10462-024-11100-x,Article
Unveiling trends in forecasting models for crop pest and disease outbreaks: A systematic and scientometric analysis,International Journal of Tropical Insect Science,,,,10.1007/s42690-025-01688-0,Abha GoyalAbhishek SinghMahadevan RaghuramanPritha GhoshAaditya Jadhav,2025,https://link.springer.com/article/10.1007/s42690-025-01688-0,Article
Few-Shot Learning for&#xa0;Outdoor Crop Pest Detection,Intelligent Systems and Applications,,,,10.1007/978-3-031-99958-1_5,Lucas Alexandre RamosSjors WeggemanArsalan KakaeiMartin DijkstraKlaas Dijkstra,2025,https://link.springer.com/chapter/10.1007/978-3-031-99958-1_5,Conference paper
Optimized recurrent neural network-based early diagnosis of crop pest and diseases in agriculture,Discover Computing,,,,10.1007/s10791-024-09481-2,Vijesh Kumar PatelKumar AbhishekShitharth Selvarajan,2024,https://link.springer.com/article/10.1007/s10791-024-09481-2,Article
Improving crop production using an agro-deep learning framework in precision agriculture,BMC Bioinformatics,,,,10.1186/s12859-024-05970-9,J. LogeshwaranDurgesh SrivastavaK. Sree KumarM. Jenolin RexAmal Al-RasheedMasresha GetahunBen Othman Soufiene,2024,https://link.springer.com/article/10.1186/s12859-024-05970-9,Article
YOLO advances to its genesis: a decadal and comprehensive review of the You Only Look Once (YOLO) series,Artificial Intelligence Review,,,,10.1007/s10462-025-11253-3,Ranjan SapkotaMarco Flores-CaleroRizwan QureshiChetan BadgujarUpesh NepalAlwin PoulosePeter ZenoUday Bhanu Prakash VaddevoluSheheryar KhanMaged ShomanHong YanManoj Karkee,2025,https://link.springer.com/article/10.1007/s10462-025-11253-3,Article
AI and IoT-powered edge device optimized for crop pest and disease detection,Scientific Reports,,,,10.1038/s41598-025-06452-5,Jean Pierre NyakuriCelestin NkundinezaOmar GateraKizito NkurikiyeyezuGervais Mwitende,2025,https://link.springer.com/article/10.1038/s41598-025-06452-5,Article
